Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture)
212.6,0,100.4,159.4,10.4,1003.8,903.8
212.6,0,100.4,159.4,10.4,1003.8,903.8
212.6,0,100.4,159.4,10.4,1003.8,903.8
212,0,124.8,159,7.8,1085.4,799.5
212,0,124.8,159,7.8,1085.4,799.5
212,0,124.8,159,7.8,1085.4,799.5
212,0,124.8,159,7.8,1085.4,799.5
212,0,124.8,159,7.8,1085.4,799.5
231.8,0,121.6,174,6.7,1056.4,778.5
231.8,0,121.6,174,6.7,1056.4,778.5
231.8,0,121.6,174,6.7,1056.4,778.5
231.8,0,121.6,174,6.7,1056.4,778.5
231.8,0,121.6,174,6.7,1056.4,778.5
251.4,0,118.3,188.5,5.8,1028.4,757.7
251.4,0,118.3,188.5,5.8,1028.4,757.7
251.4,0,118.3,188.5,5.8,1028.4,757.7
251.4,0,118.3,188.5,5.8,1028.4,757.7
251.4,0,118.3,188.5,5.8,1028.4,757.7
251.4,0,118.3,188.5,6.4,1028.4,757.7
251.4,0,118.3,188.5,6.4,1028.4,757.7
251.4,0,118.3,188.5,6.4,1028.4,757.7
251.4,0,118.3,188.5,6.4,1028.4,757.7
251.4,0,118.3,188.5,6.4,1028.4,757.7
181.4,0,167,169.6,7.6,1055.6,777.8
181.4,0,167,169.6,7.6,1055.6,777.8
181.4,0,167,169.6,7.6,1055.6,777.8
181.4,0,167,169.6,7.6,1055.6,777.8
181.4,0,167,169.6,7.6,1055.6,777.8
182,45.2,122,170.2,8.2,1059.4,780.7
182,45.2,122,170.2,8.2,1059.4,780.7
182,45.2,122,170.2,8.2,1059.4,780.7
182,45.2,122,170.2,8.2,1059.4,780.7
182,45.2,122,170.2,8.2,1059.4,780.7
168.9,42.2,124.3,158.3,10.8,1080.8,796.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2
290.4,0,96.2,168.1,9.4,961.2,865
290.4,0,96.2,168.1,9.4,961.2,865
290.4,0,96.2,168.1,9.4,961.2,865
290.4,0,96.2,168.1,9.4,961.2,865
290.4,0,96.2,168.1,9.4,961.2,865
277.1,0,97.4,160.6,11.8,973.9,875.6
277.1,0,97.4,160.6,11.8,973.9,875.6
277.1,0,97.4,160.6,11.8,973.9,875.6
277.1,0,97.4,160.6,11.8,973.9,875.6
277.1,0,97.4,160.6,11.8,973.9,875.6
295.7,0,95.6,171.5,8.9,955.1,859.2
295.7,0,95.6,171.5,8.9,955.1,859.2
295.7,0,95.6,171.5,8.9,955.1,859.2
295.7,0,95.6,171.5,8.9,955.1,859.2
295.7,0,95.6,171.5,8.9,955.1,859.2
251.8,0,99.9,146.1,12.4,1006,899.8
251.8,0,99.9,146.1,12.4,1006,899.8
251.8,0,99.9,146.1,12.4,1006,899.8
251.8,0,99.9,146.1,12.4,1006,899.8
251.8,0,99.9,146.1,12.4,1006,899.8
249.1,0,98.8,158.1,12.8,987.8,889
249.1,0,98.8,158.1,12.8,987.8,889
249.1,0,98.8,158.1,12.8,987.8,889
249.1,0,98.8,158.1,12.8,987.8,889
249.1,0,98.8,158.1,12.8,987.8,889
252.3,0,98.8,146.3,14.2,987.8,889
252.3,0,98.8,146.3,14.2,987.8,889
252.3,0,98.8,146.3,14.2,987.8,889
252.3,0,98.8,146.3,14.2,987.8,889
252.3,0,98.8,146.3,14.2,987.8,889
246.8,0,125.1,143.3,12,1086.8,800.9
246.8,0,125.1,143.3,12,1086.8,800.9
246.8,0,125.1,143.3,12,1086.8,800.9
246.8,0,125.1,143.3,12,1086.8,800.9
246.8,0,125.1,143.3,12,1086.8,800.9
275.1,0,121.4,159.5,9.9,1053.6,777.5
275.1,0,121.4,159.5,9.9,1053.6,777.5
275.1,0,121.4,159.5,9.9,1053.6,777.5
275.1,0,121.4,159.5,9.9,1053.6,777.5
275.1,0,121.4,159.5,9.9,1053.6,777.5
297.2,0,117.5,174.8,9.5,1022.8,753.5
297.2,0,117.5,174.8,9.5,1022.8,753.5
297.2,0,117.5,174.8,9.5,1022.8,753.5
297.2,0,117.5,174.8,9.5,1022.8,753.5
297.2,0,117.5,174.8,9.5,1022.8,753.5
213.7,0,174.7,154.8,10.2,1053.5,776.4
213.7,0,174.7,154.8,10.2,1053.5,776.4
213.7,0,174.7,154.8,10.2,1053.5,776.4
213.7,0,174.7,154.8,10.2,1053.5,776.4
213.7,0,174.7,154.8,10.2,1053.5,776.4
213.5,0,174.2,154.6,11.7,1052.3,775.5
213.5,0,174.2,154.6,11.7,1052.3,775.5
213.5,0,174.2,154.6,11.7,1052.3,775.5
213.5,0,174.2,154.6,11.7,1052.3,775.5
213.5,0,174.2,154.6,11.7,1052.3,775.5
277.2,97.8,24.5,160.7,11.2,1061.7,782.5
277.2,97.8,24.5,160.7,11.2,1061.7,782.5
277.2,97.8,24.5,160.7,11.2,1061.7,782.5
277.2,97.8,24.5,160.7,11.2,1061.7,782.5
277.2,97.8,24.5,160.7,11.2,1061.7,782.5
218.2,54.6,123.8,140.8,11.9,1075.7,792.7
218.2,54.6,123.8,140.8,11.9,1075.7,792.7
218.2,54.6,123.8,140.8,11.9,1075.7,792.7
218.2,54.6,123.8,140.8,11.9,1075.7,792.7
218.2,54.6,123.8,140.8,11.9,1075.7,792.7
214.9,53.8,121.9,155.6,9.6,1014.3,780.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6
218.9,0,124.1,158.5,11.3,1078.7,794.9
218.9,0,124.1,158.5,11.3,1078.7,794.9
218.9,0,124.1,158.5,11.3,1078.7,794.9
218.9,0,124.1,158.5,11.3,1078.7,794.9
218.9,0,124.1,158.5,11.3,1078.7,794.9
376,0,0,214.6,0,1003.5,762.4
376,0,0,214.6,0,1003.5,762.4
376,0,0,214.6,0,1003.5,762.4
376,0,0,214.6,0,1003.5,762.4
376,0,0,214.6,0,1003.5,762.4
500,0,0,140,4,966,853
475,0,59,142,1.9,1098,641
315,137,0,145,5.9,1130,745
505,0,60,195,0,1030,630
451,0,0,165,11.3,1030,745
516,0,0,162,8.2,801,802
520,0,0,170,5.2,855,855
528,0,0,185,6.9,920,720
520,0,0,175,5.2,870,805
385,0,136,158,20,903,768
500.1,0,0,200,3,1124.4,613.2
450.1,50,0,200,3,1124.4,613.2
397,17.2,158,167,20.8,967,633
333,17.5,163,167,17.9,996,652
334,17.6,158,189,15.3,967,633
405,0,0,175,0,1120,695
200,200,0,190,0,1145,660
516,0,0,162,8.3,801,802
145,116,119,184,5.7,833,880
160,128,122,182,6.4,824,879
234,156,0,189,5.9,981,760
250,180,95,159,9.5,860,800
475,0,0,162,9.5,1044,662
285,190,0,163,7.6,1031,685
356,119,0,160,9,1061,657
275,180,120,162,10.4,830,765
500,0,0,151,9,1033,655
165,0,143.6,163.8,0,1005.6,900.9
165,128.5,132.1,175.1,8.1,1005.8,746.6
178,129.8,118.6,179.9,3.6,1007.3,746.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6
172.4,13.6,172.4,156.8,4.1,1006.3,856.4
173.5,50.1,173.5,164.8,6.5,1006.2,793.5
167,75.4,167,164,7.9,1007.3,770.1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6
190.3,0,125.2,166.6,9.9,1079,798.9
250,0,95.7,191.8,5.3,948.9,857.2
213.5,0,174.2,159.2,11.7,1043.6,771.9
194.7,0,100.5,170.2,7.5,998,901.8
251.4,0,118.3,192.9,5.8,1043.6,754.3
165,0,143.6,163.8,0,1005.6,900.9
165,128.5,132.1,175.1,8.1,1005.8,746.6
178,129.8,118.6,179.9,3.6,1007.3,746.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6
172.4,13.6,172.4,156.8,4.1,1006.3,856.4
173.5,50.1,173.5,164.8,6.5,1006.2,793.5
167,75.4,167,164,7.9,1007.3,770.1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6
190.3,0,125.2,166.6,9.9,1079,798.9
250,0,95.7,191.8,5.3,948.9,857.2
213.5,0,174.2,159.2,11.7,1043.6,771.9
194.7,0,100.5,170.2,7.5,998,901.8
251.4,0,118.3,192.9,5.8,1043.6,754.3
165,0,143.6,163.8,0,1005.6,900.9
165,128.5,132.1,175.1,8.1,1005.8,746.6
178,129.8,118.6,179.9,3.6,1007.3,746.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6
172.4,13.6,172.4,156.8,4.1,1006.3,856.4
173.5,50.1,173.5,164.8,6.5,1006.2,793.5
167,75.4,167,164,7.9,1007.3,770.1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6
190.3,0,125.2,166.6,9.9,1079,798.9
250,0,95.7,191.8,5.3,948.9,857.2
213.5,0,174.2,159.2,11.7,1043.6,771.9
194.7,0,100.5,170.2,7.5,998,901.8
251.4,0,118.3,192.9,5.8,1043.6,754.3
165,0,143.6,163.8,0,1005.6,900.9
165,128.5,132.1,175.1,8.1,1005.8,746.6
178,129.8,118.6,179.9,3.6,1007.3,746.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6
172.4,13.6,172.4,156.8,4.1,1006.3,856.4
173.5,50.1,173.5,164.8,6.5,1006.2,793.5
167,75.4,167,164,7.9,1007.3,770.1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6
190.3,0,125.2,166.6,9.9,1079,798.9
250,0,95.7,191.8,5.3,948.9,857.2
213.5,0,174.2,159.2,11.7,1043.6,771.9
194.7,0,100.5,170.2,7.5,998,901.8
251.4,0,118.3,192.9,5.8,1043.6,754.3
165,0,143.6,163.8,0,1005.6,900.9
165,128.5,132.1,175.1,8.1,1005.8,746.6
178,129.8,118.6,179.9,3.6,1007.3,746.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6
172.4,13.6,172.4,156.8,4.1,1006.3,856.4
173.5,50.1,173.5,164.8,6.5,1006.2,793.5
167,75.4,167,164,7.9,1007.3,770.1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6
190.3,0,125.2,166.6,9.9,1079,798.9
250,0,95.7,191.8,5.3,948.9,857.2
213.5,0,174.2,159.2,11.7,1043.6,771.9
194.7,0,100.5,170.2,7.5,998,901.8
251.4,0,118.3,192.9,5.8,1043.6,754.3
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,10.3,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,11.6,967,712
446,24,79,162,10.3,967,712
387,20,94,157,14.3,938,845
387,20,94,157,13.9,938,845
387,20,94,157,11.6,938,845
387,20,94,157,14.3,938,845
387,20,94,157,13.9,938,845
387,20,94,157,11.6,938,845
387,20,94,157,14.3,938,845
387,20,94,157,13.9,938,845
387,20,94,157,11.6,938,845
387,20,94,157,14.3,938,845
387,20,94,157,13.9,938,845
387,20,94,157,11.6,938,845
355,19,97,145,13.1,967,871
355,19,97,145,12.3,967,871
491,26,123,210,3.9,882,699
491,26,123,201,3.9,822,699
491,26,123,210,3.9,882,699
491,26,123,210,3.9,882,699
491,26,123,210,3.9,882,699
491,26,123,201,3.9,822,699
491,26,123,201,3.9,822,699
491,26,123,201,3.9,822,699
424,22,132,178,8.5,822,750
424,22,132,178,8.5,882,750
424,22,132,168,8.9,822,750
424,22,132,178,8.5,822,750
424,22,132,178,8.5,822,750
424,22,132,168,8.9,822,750
424,22,132,168,8.9,822,750
424,22,132,168,8.9,822,750
202,11,141,206,1.7,942,801
202,11,141,206,1.7,942,801
202,11,141,206,1.7,942,801
202,11,141,206,1.7,942,801
284,15,141,179,5.5,842,801
284,15,141,179,5.5,842,801
284,15,141,179,5.5,842,801
284,15,141,179,5.5,842,801
359,19,141,154,10.9,942,801
359,19,141,154,10.9,942,801
359,19,141,154,10.9,942,801
359,19,141,154,10.9,942,801
359,19,141,154,10.9,942,801
359,19,141,154,10.9,942,801
359,19,141,154,10.9,942,801
359,19,141,154,10.9,942,801
436,0,0,218,0,838.4,719.7
289,0,0,192,0,913.2,895.3
289,0,0,192,0,913.2,895.3
393,0,0,192,0,940.6,785.6
393,0,0,192,0,940.6,785.6
393,0,0,192,0,940.6,785.6
480,0,0,192,0,936.2,712.2
480,0,0,192,0,936.2,712.2
480,0,0,192,0,936.2,712.2
480,0,0,192,0,936.2,712.2
333,0,0,192,0,931.2,842.6
255,0,0,192,0,889.8,945
255,0,0,192,0,889.8,945
289,0,0,192,0,913.2,895.3
255,0,0,192,0,889.8,945
333,0,0,192,0,931.2,842.6
333,0,0,192,0,931.2,842.6
289,0,0,192,0,913.2,895.3
333,0,0,192,0,931.2,842.6
393,0,0,192,0,940.6,785.6
255,0,0,192,0,889.8,945
158.8,238.2,0,185.7,0,1040.6,734.3
239.6,359.4,0,185.7,0,941.6,664.3
238.2,158.8,0,185.7,0,1040.6,734.3
181.9,272.8,0,185.7,0,1012.4,714.3
193.5,290.2,0,185.7,0,998.2,704.3
255.5,170.3,0,185.7,0,1026.6,724.3
272.8,181.9,0,185.7,0,1012.4,714.3
239.6,359.4,0,185.7,0,941.6,664.3
220.8,147.2,0,185.7,0,1055,744.3
397,0,0,185.7,0,1040.6,734.3
382.5,0,0,185.7,0,1047.8,739.3
210.7,316.1,0,185.7,0,977,689.3
158.8,238.2,0,185.7,0,1040.6,734.3
295.8,0,0,185.7,0,1091.4,769.3
255.5,170.3,0,185.7,0,1026.6,724.3
203.5,135.7,0,185.7,0,1076.2,759.3
397,0,0,185.7,0,1040.6,734.3
381.4,0,0,185.7,0,1104.6,784.3
295.8,0,0,185.7,0,1091.4,769.3
228,342.1,0,185.7,0,955.8,674.3
220.8,147.2,0,185.7,0,1055,744.3
316.1,210.7,0,185.7,0,977,689.3
135.7,203.5,0,185.7,0,1076.2,759.3
238.1,0,0,185.7,0,1118.8,789.3
339.2,0,0,185.7,0,1069.2,754.3
135.7,203.5,0,185.7,0,1076.2,759.3
193.5,290.2,0,185.7,0,998.2,704.3
203.5,135.7,0,185.7,0,1076.2,759.3
290.2,193.5,0,185.7,0,998.2,704.3
181.9,272.8,0,185.7,0,1012.4,714.3
170.3,155.5,0,185.7,0,1026.6,724.3
210.7,316.1,0,185.7,0,977,689.3
228,342.1,0,185.7,0,955.8,674.3
290.2,193.5,0,185.7,0,998.2,704.3
381.4,0,0,185.7,0,1104.6,784.3
238.2,158.8,0,185.7,0,1040.6,734.3
186.2,124.1,0,185.7,0,1083.4,764.3
339.2,0,0,185.7,0,1069.2,754.3
238.1,0,0,185.7,0,1118.8,789.3
252.5,0,0,185.7,0,1111.6,784.3
382.5,0,0,185.7,0,1047.8,739.3
252.5,0,0,185.7,0,1111.6,784.3
316.1,210.7,0,185.7,0,977,689.3
186.2,124.1,0,185.7,0,1083.4,764.3
170.3,155.5,0,185.7,0,1026.6,724.3
272.8,181.9,0,185.7,0,1012.4,714.3
339,0,0,197,0,968,781
339,0,0,197,0,968,781
339,0,0,197,0,968,781
339,0,0,197,0,968,781
339,0,0,197,0,968,781
